provincia,anio,mes,empleados_registrados_miles
Buenos Aires,2009,ene-09,1787.64
Buenos Aires,2009,feb-09,1769.223
Buenos Aires,2009,mar-09,1745.913
Buenos Aires,2009,abr-09,1729.917
Buenos Aires,2009,may-09,1723.218
Buenos Aires,2009,jun-09,1724.903
Buenos Aires,2009,jul-09,1722.949
Buenos Aires,2009,ago-09,1720.649
Buenos Aires,2009,sep-09,1727.501
Buenos Aires,2009,oct-09,1741.995
Buenos Aires,2009,nov-09,1753.656
Buenos Aires,2009,dic-09,1774.175
Buenos Aires,2010,ene-10,1786.437
Buenos Aires,2010,feb-10,1782.964
Buenos Aires,2010,mar-10,1773.732
Buenos Aires,2010,abr-10,1769.101
Buenos Aires,2010,may-10,1767.656
Buenos Aires,2010,jun-10,1771.643
Buenos Aires,2010,jul-10,1775.221
Buenos Aires,2010,ago-10,1785.985
Buenos Aires,2010,sep-10,1792.872
Buenos Aires,2010,oct-10,1804.121
Buenos Aires,2010,nov-10,1822.661
Buenos Aires,2010,dic-10,1850.472
Buenos Aires,2011,ene-11,1873.67
Buenos Aires,2011,feb-11,1872.207
Buenos Aires,2011,mar-11,1856.645
Buenos Aires,2011,abr-11,1850.097
Buenos Aires,2011,may-11,1849.152
Buenos Aires,2011,jun-11,1853.35
Buenos Aires,2011,jul-11,1854.739
Buenos Aires,2011,ago-11,1863.093
Buenos Aires,2011,sep-11,1878.351
Buenos Aires,2011,oct-11,1884.408
Buenos Aires,2011,nov-11,1905.684
Buenos Aires,2011,dic-11,1920.996
Buenos Aires,2012,ene-12,1945.743
Buenos Aires,2012,feb-12,1936.715
Buenos Aires,2012,mar-12,1924.885
Buenos Aires,2012,abr-12,1904.162
Buenos Aires,2012,may-12,1903.065
Buenos Aires,2012,jun-12,1897.415
Buenos Aires,2012,jul-12,1896.625
Buenos Aires,2012,ago-12,1899.763
Buenos Aires,2012,sep-12,1898.986
Buenos Aires,2012,oct-12,1910.205
Buenos Aires,2012,nov-12,1920.534
Buenos Aires,2012,dic-12,1943.766
Buenos Aires,2013,ene-13,1958.878
Buenos Aires,2013,feb-13,1952.564
Buenos Aires,2013,mar-13,1932.927
Buenos Aires,2013,abr-13,1925.175
Buenos Aires,2013,may-13,1916.492
Buenos Aires,2013,jun-13,1908.564
Buenos Aires,2013,jul-13,1909.407
Buenos Aires,2013,ago-13,1920.657
Buenos Aires,2013,sep-13,1919.411
Buenos Aires,2013,oct-13,1925.68
Buenos Aires,2013,nov-13,1938.312
Buenos Aires,2013,dic-13,1951.86
Buenos Aires,2014,ene-14,1963.088
Buenos Aires,2014,feb-14,1955.415
Buenos Aires,2014,mar-14,1931.774
Buenos Aires,2014,abr-14,1922.575
Buenos Aires,2014,may-14,1918.079
Buenos Aires,2014,jun-14,1913.297
Buenos Aires,2014,jul-14,1911.108
Buenos Aires,2014,ago-14,1909.306
Buenos Aires,2014,sep-14,1914.915
Buenos Aires,2014,oct-14,1925.788
Buenos Aires,2014,nov-14,1933.03
Buenos Aires,2014,dic-14,1948.808
Buenos Aires,2015,ene-15,1971.731
Buenos Aires,2015,feb-15,1966.511
Buenos Aires,2015,mar-15,1955.187
Buenos Aires,2015,abr-15,1953.302
Buenos Aires,2015,may-15,1947.751
Buenos Aires,2015,jun-15,1951.893
Buenos Aires,2015,jul-15,1953.104
Buenos Aires,2015,ago-15,1956.404
Buenos Aires,2015,sep-15,1957.073
Buenos Aires,2015,oct-15,1968.033
Buenos Aires,2015,nov-15,1971.552
Buenos Aires,2015,dic-15,1974.969
Buenos Aires,2016,ene-16,1988.102
Buenos Aires,2016,feb-16,1981.548
Buenos Aires,2016,mar-16,1961.256
Buenos Aires,2016,abr-16,1945.543
Buenos Aires,2016,may-16,1939.202
Buenos Aires,2016,jun-16,1931.585
Buenos Aires,2016,jul-16,1928.002
Buenos Aires,2016,ago-16,1932.48
Buenos Aires,2016,sep-16,1934.07
Buenos Aires,2016,oct-16,1939.823
Buenos Aires,2016,nov-16,1952.171
Buenos Aires,2016,dic-16,1961.623
Buenos Aires,2017,ene-17,1979.08
Buenos Aires,2017,feb-17,1969.381
Buenos Aires,2017,mar-17,1963.964
Buenos Aires,2017,abr-17,1949.682
Buenos Aires,2017,may-17,1945.715
Buenos Aires,2017,Jun-17,1945.45
Buenos Aires,2017,Jul-17,1946.356
Buenos Aires,2017,ago-17,1948.643
Buenos Aires,2017,sep-17,1951.792
Buenos Aires,2017,oct-17,1964.207
Buenos Aires,2017,nov-17,1971.37
Buenos Aires,2017,dic-17,1978.995
Buenos Aires,2018,ene-18,1995.292
Buenos Aires,2018,feb-18,1985.292
Buenos Aires,2018,mar-18,1977.915
Buenos Aires,2018,abr-18,1964.174
Buenos Aires,2018,may-18,1954.388
Buenos Aires,2018,jun-18,1941.223
Buenos Aires,2018,jul-18,1940.559
Buenos Aires,2018,ago-18,1937.137
Buenos Aires,2018,sep-18,1929.141
Buenos Aires,2018,oct-18,1931.94
Buenos Aires,2018,nov-18,1927.308
Buenos Aires,2018,dic-18,1928.421
Buenos Aires,2019,ene-19,1943.272
Buenos Aires,2019,feb-19,1936.914
Buenos Aires,2019,mar-19,1931.565
Buenos Aires,2019,abr-19,1913.045
Buenos Aires,2019,may-19,1893.773
Buenos Aires,2019,jun-19,1884.019
Buenos Aires,2019,jul-19,1888.418
Buenos Aires,2019,ago-19,1884.306
Buenos Aires,2019,sep-19,1877.988
Buenos Aires,2019,oct-19,1880.786
Buenos Aires,2019,nov-19,1885.726
Buenos Aires,2019,dic-19,1890.565
Buenos Aires,2020,ene-20,1901.638
Buenos Aires,2020,feb-20,1894.106
Buenos Aires,2020,mar-20,1874.68
Buenos Aires,2020,abr-20,1833.328
Buenos Aires,2020,may-20,1821.88
Buenos Aires,2020,jun-20,1820.722
Buenos Aires,2020,jul-20,1821.218
Buenos Aires,2020,ago-20,1821.944
Buenos Aires,2020,sep-20,1827.102
Buenos Aires,2020,oct-20,1834.317
Buenos Aires,2020,nov-20,1841.052
Buenos Aires,2020,dic-20,1846.859
Buenos Aires,2021,ene-21,1861.098
Buenos Aires,2021,feb-21,1863.583
Buenos Aires,2021,mar-21,1867.608
Buenos Aires,2021,abr-21,1862.689
Buenos Aires,2021,may-21,1853.32
Buenos Aires,2021,jun-21,1850.643
Buenos Aires,2021,jul-21,1849.784
Buenos Aires,2021,ago-21,1854.182
Buenos Aires,2021,sep-21,1863.574
Buenos Aires,2021,oct-21,1873.826
Capital Federal,2009,ene-09,1469.941
Capital Federal,2009,feb-09,1467.029
Capital Federal,2009,mar-09,1466.167
Capital Federal,2009,abr-09,1454.724
Capital Federal,2009,may-09,1451.374
Capital Federal,2009,jun-09,1450.695
Capital Federal,2009,jul-09,1449.348
Capital Federal,2009,ago-09,1448.628
Capital Federal,2009,sep-09,1452.493
Capital Federal,2009,oct-09,1456.96
Capital Federal,2009,nov-09,1460.733
Capital Federal,2009,dic-09,1467.644
Capital Federal,2010,ene-10,1460.384
Capital Federal,2010,feb-10,1463.02
Capital Federal,2010,mar-10,1473.082
Capital Federal,2010,abr-10,1468.761
Capital Federal,2010,may-10,1468.964
Capital Federal,2010,jun-10,1473.118
Capital Federal,2010,jul-10,1476.369
Capital Federal,2010,ago-10,1481.402
Capital Federal,2010,sep-10,1488.511
Capital Federal,2010,oct-10,1497.05
Capital Federal,2010,nov-10,1506.421
Capital Federal,2010,dic-10,1512.38
Capital Federal,2011,ene-11,1503.525
Capital Federal,2011,feb-11,1508.12
Capital Federal,2011,mar-11,1513.423
Capital Federal,2011,abr-11,1515.383
Capital Federal,2011,may-11,1519.64
Capital Federal,2011,jun-11,1518.97
Capital Federal,2011,jul-11,1524.781
Capital Federal,2011,ago-11,1531.388
Capital Federal,2011,sep-11,1532.169
Capital Federal,2011,oct-11,1535.621
Capital Federal,2011,nov-11,1543.905
Capital Federal,2011,dic-11,1546.032
Capital Federal,2012,ene-12,1534.103
Capital Federal,2012,feb-12,1532.406
Capital Federal,2012,mar-12,1537.417
Capital Federal,2012,abr-12,1527.298
Capital Federal,2012,may-12,1525.237
Capital Federal,2012,jun-12,1521.463
Capital Federal,2012,jul-12,1521.281
Capital Federal,2012,ago-12,1519.97
Capital Federal,2012,sep-12,1517.928
Capital Federal,2012,oct-12,1525.372
Capital Federal,2012,nov-12,1527.307
Capital Federal,2012,dic-12,1530.503
Capital Federal,2013,ene-13,1524.331
Capital Federal,2013,feb-13,1522.206
Capital Federal,2013,mar-13,1525.058
Capital Federal,2013,abr-13,1520.99
Capital Federal,2013,may-13,1516.106
Capital Federal,2013,jun-13,1513.471
Capital Federal,2013,jul-13,1517.973
Capital Federal,2013,ago-13,1516.665
Capital Federal,2013,sep-13,1516.173
Capital Federal,2013,oct-13,1522.686
Capital Federal,2013,nov-13,1524.897
Capital Federal,2013,dic-13,1526.684
Capital Federal,2014,ene-14,1520.216
Capital Federal,2014,feb-14,1518.13
Capital Federal,2014,mar-14,1518.245
Capital Federal,2014,abr-14,1513.177
Capital Federal,2014,may-14,1509.086
Capital Federal,2014,jun-14,1506.242
Capital Federal,2014,jul-14,1508.356
Capital Federal,2014,ago-14,1511.727
Capital Federal,2014,sep-14,1515.832
Capital Federal,2014,oct-14,1519.741
Capital Federal,2014,nov-14,1522.607
Capital Federal,2014,dic-14,1526.09
Capital Federal,2015,ene-15,1521.882
Capital Federal,2015,feb-15,1524.515
Capital Federal,2015,mar-15,1534.379
Capital Federal,2015,abr-15,1534.168
Capital Federal,2015,may-15,1530.232
Capital Federal,2015,jun-15,1534.158
Capital Federal,2015,jul-15,1537.961
Capital Federal,2015,ago-15,1537.879
Capital Federal,2015,sep-15,1539.514
Capital Federal,2015,oct-15,1544.973
Capital Federal,2015,nov-15,1545.494
Capital Federal,2015,dic-15,1543.674
Capital Federal,2016,ene-16,1536.964
Capital Federal,2016,feb-16,1541.959
Capital Federal,2016,mar-16,1548.814
Capital Federal,2016,abr-16,1539.723
