rubro,provincia,anio,value
Total,Total País,2005,40386.762
Total,Buenos Aires,2005,15626.865
Total,Capital Federal,2005,271.295
Total,Córdoba,2005,4452.178
Total,Entre Ríos,2005,815.341
Total,La Pampa,2005,242.874
Total,Santa Fe,2005,7720.431
Total,Chubut,2005,2038.589
Total,Neuquén,2005,900.583
Total,Río Negro,2005,415.902
Total,Santa Cruz,2005,858.361
Total,Tierra del Fuego,2005,413.146
Total,Catamarca,2005,1066.835
Total,Jujuy,2005,205.897
Total,La Rioja,2005,174.862
Total,Salta,2005,809.574
Total,Santiago del Estero,2005,101.791
Total,Tucumán,2005,560.886
Total,Mendoza,2005,1041.681
Total,San Juan,2005,284.316
Total,San Luis,2005,374.93
Total,Chaco,2005,151.574
Total,Corrientes,2005,99.963
Total,Formosa,2005,33.276
Total,Misiones,2005,382.573
Productos primarios,Total País,2005,8110.253
Productos primarios,Buenos Aires,2005,2116.442
Productos primarios,Capital Federal,2005,0
Productos primarios,Córdoba,2005,1411.687
Productos primarios,Entre Ríos,2005,485.317
Productos primarios,La Pampa,2005,187.538
Productos primarios,Santa Fe,2005,1028.697
Productos primarios,Chubut,2005,177.371
Productos primarios,Neuquén,2005,38.08
Productos primarios,Río Negro,2005,251.661
Productos primarios,Santa Cruz,2005,151.134
Productos primarios,Tierra del Fuego,2005,34.189
Productos primarios,Catamarca,2005,1003.273
Productos primarios,Jujuy,2005,94.167
Productos primarios,La Rioja,2005,0.85
Productos primarios,Salta,2005,237.896
Productos primarios,Santiago del Estero,2005,79.175
Productos primarios,Tucumán,2005,226.928
Productos primarios,Mendoza,2005,170.178
Productos primarios,San Juan,2005,71.449
Productos primarios,San Luis,2005,30.043
Productos primarios,Chaco,2005,103.139
Productos primarios,Corrientes,2005,63.748
Productos primarios,Formosa,2005,5.999
Productos primarios,Misiones,2005,75.814
Manufacturas de origen agropecuario,Total País,2005,13141.654
Manufacturas de origen agropecuario,Buenos Aires,2005,3244.813
Manufacturas de origen agropecuario,Capital Federal,2005,85.375
Manufacturas de origen agropecuario,Córdoba,2005,2154.224
Manufacturas de origen agropecuario,Entre Ríos,2005,255.773
Manufacturas de origen agropecuario,La Pampa,2005,23.523
Manufacturas de origen agropecuario,Santa Fe,2005,5512.243
Manufacturas de origen agropecuario,Chubut,2005,191.093
Manufacturas de origen agropecuario,Neuquén,2005,31.978
Manufacturas de origen agropecuario,Río Negro,2005,49.419
Manufacturas de origen agropecuario,Santa Cruz,2005,47.633
Manufacturas de origen agropecuario,Tierra del Fuego,2005,43.424
Manufacturas de origen agropecuario,Catamarca,2005,15.517
Manufacturas de origen agropecuario,Jujuy,2005,77.108
Manufacturas de origen agropecuario,La Rioja,2005,122.531
Manufacturas de origen agropecuario,Salta,2005,64.031
Manufacturas de origen agropecuario,Santiago del Estero,2005,0.635
Manufacturas de origen agropecuario,Tucumán,2005,125.611
Manufacturas de origen agropecuario,Mendoza,2005,487.962
Manufacturas de origen agropecuario,San Juan,2005,122.381
Manufacturas de origen agropecuario,San Luis,2005,140.823
Manufacturas de origen agropecuario,Chaco,2005,40.908
Manufacturas de origen agropecuario,Corrientes,2005,26.393
Manufacturas de origen agropecuario,Formosa,2005,3.459
Manufacturas de origen agropecuario,Misiones,2005,190.37
Manufacturas de origen industrial,Total País,2005,11984.798
Manufacturas de origen industrial,Buenos Aires,2005,7787.398
Manufacturas de origen industrial,Capital Federal,2005,185.824
Manufacturas de origen industrial,Córdoba,2005,886.243
Manufacturas de origen industrial,Entre Ríos,2005,74.234
Manufacturas de origen industrial,La Pampa,2005,8.479
Manufacturas de origen industrial,Santa Fe,2005,964.291
Manufacturas de origen industrial,Chubut,2005,415.605
Manufacturas de origen industrial,Neuquén,2005,10.878
Manufacturas de origen industrial,Río Negro,2005,49.904
Manufacturas de origen industrial,Santa Cruz,2005,117.171
Manufacturas de origen industrial,Tierra del Fuego,2005,23.547
Manufacturas de origen industrial,Catamarca,2005,48.045
Manufacturas de origen industrial,Jujuy,2005,34.622
Manufacturas de origen industrial,La Rioja,2005,51.481
Manufacturas de origen industrial,Salta,2005,69.48
Manufacturas de origen industrial,Santiago del Estero,2005,21.981
Manufacturas de origen industrial,Tucumán,2005,207.278
Manufacturas de origen industrial,Mendoza,2005,136.536
Manufacturas de origen industrial,San Juan,2005,89.635
Manufacturas de origen industrial,San Luis,2005,204.065
Manufacturas de origen industrial,Chaco,2005,7.523
Manufacturas de origen industrial,Corrientes,2005,9.822
Manufacturas de origen industrial,Formosa,2005,0.986
Manufacturas de origen industrial,Misiones,2005,116.389
Combustibles y energía,Total País,2005,7150.056
Combustibles y energía,Buenos Aires,2005,2478.212
Combustibles y energía,Capital Federal,2005,0
Combustibles y energía,Córdoba,2005,0
Combustibles y energía,Entre Ríos,2005,0
Combustibles y energía,La Pampa,2005,23.334
Combustibles y energía,Santa Fe,2005,215.2
Combustibles y energía,Chubut,2005,1254.52
Combustibles y energía,Neuquén,2005,819.647
Combustibles y energía,Río Negro,2005,64.92
Combustibles y energía,Santa Cruz,2005,542.424
Combustibles y energía,Tierra del Fuego,2005,311.986
Combustibles y energía,Catamarca,2005,0
Combustibles y energía,Jujuy,2005,0
